Temperature,PH,Conductivity,Turbidity,Dissolved oxygen
17.2,7.16,2529,70,5.74
17.2,7.17,1966,76,6.39
17.2,7.15,2257,74,6.48
17.2,7.14,1849,67,6.55
17.1,7.14,1494,67,6.86
17.1,7.12,2220,68,6.47
16.9,7.13,2049,66,6.32
16.8,7.13,2149,60,6.34
16.7,7.12,2153,60,6.5
16.7,7.12,2152,60,6.74
17,7.12,915,61,6.98
17.3,7.1,2318,64,5.97
17.3,7.12,2697,62,5.92
17.4,7.13,2925,74,6.25
17.5,7.15,2818,98,6.36
17.5,7.14,2551,96,6.03
17.7,7.15,2812,98,6.45
17.6,7.13,3033,96,6.06
17.7,7.15,2646,93,6.33
17.6,7.15,3061,97,6.04
17.4,7.15,3002,94,5.65
17.5,7.15,3099,87,5.7
17.5,7.16,2986,84,5.6
17.6,7.15,3099,84,5.84
17.5,7.14,3153,87,6.45
17.6,7.14,3358,76,5.66
17.6,7.17,3308,77,6.23
17.3,7.17,2897,63,5.75
17.2,7.14,850,64,5.34
17.2,7.15,2903,64,5.17
17.1,7.15,2177,60,5.13
17.1,7.14,2900,63,5.24
17,7.14,2913,68,5.08
17.2,7.14,2959,65,5.34
17.3,7.14,2238,75,5.6
17.4,7.14,2033,82,5.09
17.3,7.14,3248,75,5.22
17.4,7.15,3290,69,5.3
17.6,7.16,1769,80,5.13
17.7,7.15,3208,77,6.2
17.6,7.12,2576,77,5.62
17.8,7.13,2310,74,7.38
17.8,7.12,3220,90,6.39
17.7,7.13,3447,92,6.21
17.8,7.15,188,118,6.03
17.6,7.11,2962,91,7.01
17.6,7.1,2566,97,6.58
17.6,7.11,3102,106,6.03
17.4,7.12,2984,82,5.92
17.5,7.12,2968,86,5.59
17.4,7.14,3330,78,4.85
17.3,7.19,3579,100,4.2
17.5,7.21,224,91,4.52
17.3,7.19,2230,70,5.8
17.4,7.1,2024,53,6.3
17.5,7.12,1741,39,5.16
17.4,7.05,1448,32,6.73
17.6,7.05,1514,35,5.74
17.6,7.06,1654,47,4.87
17.7,7.09,1751,45,4.42
17.7,7.09,1738,45,4.78
17.7,7.08,1781,43,4.2
17.8,7.24,1806,165,6
17.8,7.28,1858,151,5.61
17.7,7.3,1996,46,5.3
17.6,7.34,2257,186,5.82
17.7,7.36,2238,206,6.12
17.7,7.38,2416,252,6.55
17.6,7.39,2358,154,6.04
17.7,7.41,1993,289,6.47
17.7,7.39,1981,330,6.61
17.8,7.36,2305,358,5.97
17.5,7.46,1938,326,6.26
17.6,7.42,1876,446,6.37
17.5,7.36,2002,454,5.57
17.7,7.36,2099,134,5.34
17.5,7.41,1950,264,5.58
17.5,7.38,1900,336,5.74
17.5,7.38,1831,109,5.81
17.6,7.35,1874,471,5.44
17.6,7.31,2457,350,4.91
17.8,7.35,2204,315,4.98
18,7.43,1785,355,6.89
18,7.37,1899,294,6.36
17.8,7.3,2407,272,4.74
18,7.37,2177,259,6.58
